SCHOOL_YEAR,FIPST,STATENAME,ST,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,LEA_TYPE,LEA_TYPE_TEXT,OUT_OF_STATE_FLAG,CHARTER_LEA,CHARTER_LEA_TEXT,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED,OPERATIONAL_SCHOOLS
2023-2024,04,ARIZONA,AZ,Pine Forest Education Association Inc. (4201),01,,AZ-4201,0400018,1120 W KAIBAB LN,,,FLAGSTAFF,AZ,86001,6217,1120 W KAIBAB LN,,,FLAGSTAFF,AZ,86001,6217,(928)779-9880,http://www.pineforestschool.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1
2023-2024,04,ARIZONA,AZ,Flagstaff Arts And Leadership Academy (4202),01,,AZ-4202,0400019,3401 N FORT VALLEY RD,,,FLAGSTAFF,AZ,86001,8388,3401 N FORT VALLEY RD,,,FLAGSTAFF,AZ,86001,8388,(928)779-7223,http://www.flagarts.com,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,06,12,High,As reported,1
2023-2024,04,ARIZONA,AZ,Flagstaff Montessori (4205),01,,AZ-4205,0400020,43551 MISSION BLVD STE 109,,,FREMONT,CA,94539,5871,850 N LOCUST ST,,,FLAGSTAFF,AZ,86001,3343,(928)226-1212,,1,Open,1,Open,07/30/2024,7,Independent charter district,Yes,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1
2023-2024,04,ARIZONA,AZ,Colorado City Unified District (4370),01,,AZ-4370,0400021,PO BOX 309,,,COLORADO CITY,AZ,86021,0309,325 North Cottonwood St,,,Colorado City,AZ,86021,,(928)875-9000,http://www.ccschools.us,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,2
2023-2024,04,ARIZONA,AZ,Vernon Elementary District (4162),01,,AZ-4162,0400022,PO BOX 89,,,VERNON,AZ,85940,0089,90 CRN 3139,,,Vernon,AZ,85940,,(928)537-5463,http://www.vernon.k12.az.us,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,PK,08,Elementary,As reported,1
2023-2024,04,ARIZONA,AZ,Pinon Unified District (4390),01,,AZ-4390,0400023,PO BOX 839,,,PINON,AZ,86510,0839,Navajo Hwy 41,,,Pinon,AZ,86510,,(928)725-3450,http://www.pusdatsa.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported,3
2023-2024,04,ARIZONA,AZ,Heber-Overgaard Unified District (4392),01,,AZ-4392,0400026,PO BOX 547,,,HEBER,AZ,85928,0547,3375 BUCKSKIN CANYON RD,,,HEBER,AZ,85928,,(928)535-4622,http://www.heberovergaardschools.org,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,PK,12,Other,As reported,4
2023-2024,04,ARIZONA,AZ,Triumphant Learning Center (4225),01,,AZ-4225,0400028,201 E MAIN ST,,,SAFFORD,AZ,85546,2051,201 E MAIN ST,,,SAFFORD,AZ,85546,2051,(928)348-8422,,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,KG,08,Elementary,As reported,1
2023-2024,04,ARIZONA,AZ,Ridgeline Academy Inc. (4301),01,,AZ-4301,0400031,33625 N NORTH VALLEY PKWY,,,PHOENIX,AZ,85085,4229,33625 N NORTH VALLEY PKWY,,,PHOENIX,AZ,85085,4229,(623)223-1335,http://www.ridgelineacademy.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,KG,12,Other,As reported,1
2023-2024,04,ARIZONA,AZ,The Boys & Girls Clubs of the Valley (4305),01,,AZ-4305,0400033,221 W 6TH AVE,,,MESA,AZ,85210,2446,221 W 6TH AVE,,,MESA,AZ,85210,2446,(480)844-3965,http://www.mesaartsacademy.org/,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,KG,08,Elementary,As reported,1
2023-2024,04,ARIZONA,AZ,Reid Traditional Schools' Valley Academy Inc. (4306),01,,AZ-4306,0400034,14841 N BLACK CANYON HWY,,,PHOENIX,AZ,85023,5068,14841 N BLACK CANYON HWY,,,PHOENIX,AZ,85023,5068,(623)478-2344,http://ValleyAcademy.com,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,KG,08,Elementary,As reported,1
2023-2024,04,ARIZONA,AZ,Twenty First Century Charter School Inc. Bennett  (4310),01,,AZ-4310,0400037,2930 W BETHANY HOME RD,,,PHOENIX,AZ,85017,1615,2930 W BETHANY HOME RD,,,PHOENIX,AZ,85017,1615,(602)943-1317,http://www.bennettacademy.com,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,2
2023-2024,04,ARIZONA,AZ,STEP UP Schools Inc. (4313),01,,AZ-4313,0400040,44 E 5TH ST,,,MESA,AZ,85201,5901,44 E 5TH ST,,,MESA,AZ,85201,5901,(480)344-2600,http://www.stepupschoolsmesa.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1
2023-2024,04,ARIZONA,AZ,Maricopa County Community College District dba Gat (4314),01,,AZ-4314,0400041,108 N 40TH ST,,,PHOENIX,AZ,85034,1704,108 N 40TH ST,,,PHOENIX,AZ,85034,1704,(602)286-8759,,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,1
2023-2024,04,ARIZONA,AZ,New School For The Arts (4316),01,,AZ-4316,0400043,1216 E APACHE BLVD,,,TEMPE,AZ,85281,6005,1216 E APACHE BLVD,,,TEMPE,AZ,85281,6005,(480)252-5414,http://www.aznsa.com/,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,1
2023-2024,04,ARIZONA,AZ,Salt River Pima-Maricopa  Community Schools (4320),01,,AZ-4320,0400047,10005 E OSBORN RD,,,SCOTTSDALE,AZ,85256,4019,4827 N COUNTRY CLUB DR,,,SCOTTSDALE,AZ,85256,2915,(480)362-2500,http://saltriverschools.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,1
2023-2024,04,ARIZONA,AZ,Espiritu Community Development Corp. (4335),01,,AZ-4335,0400052,4848 S 2ND ST,,,PHOENIX,AZ,85040,2122,4848 S 2ND ST,,,PHOENIX,AZ,85040,2122,(602)243-7788,http://www.espiritu.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,07,12,High,As reported,1
2023-2024,04,ARIZONA,AZ,Heritage Academy Inc. (4336),01,,AZ-4336,0400053,32 S CENTER ST,,,MESA,AZ,85210,1306,32 S CENTER ST,,,MESA,AZ,85210,1306,(480)969-5641,http://www.hamesa.com,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported,2
2023-2024,04,ARIZONA,AZ,Villa Montessori Charter School (4339),01,,AZ-4339,0400054,2802 E MEADOWBROOK AVE,,,PHOENIX,AZ,85016,4939,2802 E MEADOWBROOK AVE,,,PHOENIX,AZ,85016,4939,(602)955-2210,http://www.villamontessori.com,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1
2023-2024,04,ARIZONA,AZ,EduPreneurship Inc. (4341),01,,AZ-4341,0400055,2632 W AUGUSTA AVE,,,PHOENIX,AZ,85051,6732,2632 W AUGUSTA AVE,,,PHOENIX,AZ,85051,6732,(602)973-8998,http://www.escswarm.com,6,Inactive,6,Inactive,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,M,M,Not reported,As reported,0
2023-2024,04,ARIZONA,AZ,Arizona School For The Arts (4345),01,,AZ-4345,0400056,1410 N 3RD ST,,,PHOENIX,AZ,85004,1608,1410 N 3RD ST,,,PHOENIX,AZ,85004,1608,(602)257-1444,http://www.goasa.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,05,12,High,As reported,1
2023-2024,04,ARIZONA,AZ,Arizona Center for Youth Resources (4346),01,,AZ-4346,0400057,649 N 6TH AVE,,,PHOENIX,AZ,85003,1659,649 N 6TH AVE,,,PHOENIX,AZ,85003,1659,(602)252-6721,http://www.acyraz.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,1
2023-2024,04,ARIZONA,AZ,Intelli-School Inc. (4352),01,,AZ-4352,0400061,2222 W NORTHERN AVE STE A110,,,PHOENIX,AZ,85021,5697,2222 W NORTHERN AVE STE A110,,,PHOENIX,AZ,85021,5697,(602)564-7380,http://www.intellischool.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,2
2023-2024,04,ARIZONA,AZ,Benjamin Franklin Charter School - Queen Creek (4355),01,,AZ-4355,0400065,690 E WARNER RD STE 141,,,GILBERT,AZ,85296,3058,22951 S POWER RD,,,QUEEN CREEK,AZ,85142,4500,(480)264-3710,http://www.bfcsaz.com,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTNOTLEA,Not LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,KG,12,Other,As reported,4
2023-2024,04,ARIZONA,AZ,Victory High School Inc. (4358),01,,AZ-4358,0400067,PO BOX 8374,,,PHOENIX,AZ,85066,8374,1650 W SOUTHERN AVE,,,PHOENIX,AZ,85041,4627,(602)243-7583,http://www.victoryhigh.com,6,Inactive,6,Inactive,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,M,M,Not reported,As reported,0
2023-2024,04,ARIZONA,AZ,Montessori Day Public Schools Chartered Inc. (4359),01,,AZ-4359,0400068,9201 N 7TH AVE,,,PHOENIX,AZ,85021,3518,9201 N 7TH AVE,,,PHOENIX,AZ,85021,3518,(602)943-7672,http://mdpsc.org/,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1
2023-2024,04,ARIZONA,AZ,Khalsa Montessori Elementary Schools (4360),01,,AZ-4360,0400069,2536 N 3RD ST,,,PHOENIX,AZ,85004,1308,2536 N 3RD ST,,,PHOENIX,AZ,85004,1308,(602)252-3759,http://www.khalsamontessori.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1
2023-2024,04,ARIZONA,AZ,Tempe Preparatory Academy (4361),01,,AZ-4361,0400070,1251 E SOUTHERN AVE,,,TEMPE,AZ,85282,5605,1251 E SOUTHERN AVE,,,TEMPE,AZ,85282,5605,(480)839-3402,http://tempeprep.org/,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,06,12,High,As reported,1
2023-2024,04,ARIZONA,AZ,Bright Beginnings School Inc. (4362),01,,AZ-4362,0400071,400 N ANDERSEN BLVD,,,CHANDLER,AZ,85224,8273,400 N ANDERSEN BLVD,,,CHANDLER,AZ,85224,8273,(480)821-1404,http://www.bbschl.com,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTNOTLEA,Not LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,1
2023-2024,04,ARIZONA,AZ,Montessori Education Centre Charter School (4363),01,,AZ-4363,0400072,2834 E SOUTHERN AVE,,,MESA,AZ,85204,5517,2834 E SOUTHERN AVE,,,MESA,AZ,85204,5517,(480)926-8375,http://www.montessorictr.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,KG,07,Elementary,As reported,2
2023-2024,04,ARIZONA,AZ,Kingman Academy Of Learning (4383),01,,AZ-4383,0400074,3410 N BURBANK ST,,,KINGMAN,AZ,86409,3105,3410 N BURBANK ST,,,KINGMAN,AZ,86409,3105,(928)681-2400,http://www.kaolaz.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,KG,12,Other,As reported,4
2023-2024,04,ARIZONA,AZ,Young Scholars Academy Charter School Corp. (4385),01,,AZ-4385,0400075,1501 E VALENCIA RD,,,BULLHEAD CITY,AZ,86426,5218,1501 E VALENCIA RD,,,BULLHEAD CITY,AZ,86426,5218,(928)704-1100,,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1
2023-2024,04,ARIZONA,AZ,Career Development Inc. (4400),01,,AZ-4400,0400077,PO BOX 125,,,TAYLOR,AZ,85939,0125,1300 N Centennial Blvd,,,Taylor,AZ,85939,,(928)536-4222,http://www.naacharter.org/,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,07,12,High,As reported,1
2023-2024,04,ARIZONA,AZ,Edge School Inc. The (4421),01,,AZ-4421,0400078,2555 E 1ST ST,,,TUCSON,AZ,85716,4152,2555 E 1ST ST,,,TUCSON,AZ,85716,4152,(520)881-1389,http://www.edgehighschool.org/,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,2
2023-2024,04,ARIZONA,AZ,Tucson Youth Development/ACE Charter High School (4422),01,,AZ-4422,0400079,1901 N STONE AVE,,,TUCSON,AZ,85705,5642,1901 N STONE AVE,,,TUCSON,AZ,85705,5642,(520)623-5843,http://www.tucsonyouth.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,2
2023-2024,04,ARIZONA,AZ,Presidio School (4425),01,,AZ-4425,0400081,1695 E FORT LOWELL RD,,,TUCSON,AZ,85719,2319,1695 E FORT LOWELL RD,,,TUCSON,AZ,85719,2319,(520)881-5222,http://www.presidioschool.com,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,KG,12,Other,As reported,1
2023-2024,04,ARIZONA,AZ,Colorado River Union High School District (4381),01,,AZ-4381,0400082,PO BOX 21479,,,BULLHEAD CITY,AZ,86439,1479,1004 HANCOCK RD # 200,,,BULLHEAD CITY,AZ,86442,5946,(928)758-3916,http://www.crsk12.org/,1,Open,1,Open,07/30/2024,1,Regular public school district that is not a component of a supervisory union,No,NOTCHR,Not a charter district,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,3
2023-2024,04,ARIZONA,AZ,Portable Practical Educational Preparation Inc. ( (4431),01,,AZ-4431,0400083,1840 E BENSON HWY,,,TUCSON,AZ,85714,1770,1840 E BENSON HWY,,,TUCSON,AZ,85714,1770,(520)741-4383,http://www.ppeptechs.org/,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,6
2023-2024,04,ARIZONA,AZ,Sedona Charter School Inc. (4492),01,,AZ-4492,0400089,165 KACHINA DR,,,SEDONA,AZ,86336,4303,165 KACHINA DR,,,SEDONA,AZ,86336,4303,(928)204-6464,http://www.sedonacharterschool.com,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1
2023-2024,04,ARIZONA,AZ,Mingus Springs Charter School (4493),01,,AZ-4493,0400090,3600 SUNSET DR,,,CHINO VALLEY,AZ,86323,5054,3600 SUNSET DR,,,CHINO VALLEY,AZ,86323,5054,(928)636-4766,http://www.mingusspringsschool.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1
2023-2024,04,ARIZONA,AZ,Franklin Phonetic Primary School Inc. (4495),01,,AZ-4495,0400092,6116 East Highway 69,,,Prescott Valley,AZ,86314,,6116 East Highway 69,,,Prescott Valley,AZ,86314,,(928)775-6747,,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1
2023-2024,04,ARIZONA,AZ,Skyview School Inc. (4496),01,,AZ-4496,0400093,125 S RUSH ST,,,PRESCOTT,AZ,86303,4432,125 S RUSH ST,,,PRESCOTT,AZ,86303,4432,(928)776-1730,http://www.skyviewschool.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1
2023-2024,04,ARIZONA,AZ,Az-Tec High School (4508),01,,AZ-4508,0400094,2330 W 28TH ST,,,YUMA,AZ,85364,6954,2330 W 28TH ST,,,YUMA,AZ,85364,6954,(928)314-1918,http://www.aztechs.org/,6,Inactive,6,Inactive,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,M,M,Not reported,As reported,0
2023-2024,04,ARIZONA,AZ,Yuma Private Industry Council Inc. (4509),01,,AZ-4509,0400095,3834 W 16TH ST,,,YUMA,AZ,85364,4107,3834 W 16TH ST,,,YUMA,AZ,85364,4107,(928)329-0990,http://chs.ypic.com/,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,1
2023-2024,04,ARIZONA,AZ,Mountain School Inc. (4203),01,,AZ-4203,0400096,311 W CATTLE DRIVE TRL,,,FLAGSTAFF,AZ,86005,7060,311 W CATTLE DRIVE TRL,,,FLAGSTAFF,AZ,86005,7060,(928)779-2392,http://www.mountaincharterschool.com,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,1
2023-2024,04,ARIZONA,AZ,Northland Preparatory Academy (4204),01,,AZ-4204,0400097,3300 E SPARROW AVE,,,FLAGSTAFF,AZ,86004,6703,3300 E SPARROW AVE,,,FLAGSTAFF,AZ,86004,6703,(928)214-8776,http://www.northlandprep.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,06,12,High,As reported,1
2023-2024,04,ARIZONA,AZ,Flagstaff Junior Academy (4207),01,,AZ-4207,0400098,306 W CEDAR AVE,,,FLAGSTAFF,AZ,86001,1413,306 W CEDAR AVE,,,FLAGSTAFF,AZ,86001,1413,(928)774-6007,http://www.fjacademy.com,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1
2023-2024,04,ARIZONA,AZ,Liberty High School (4216),01,,AZ-4216,0400099,PO BOX 2343,,,GLOBE,AZ,85502,2343,1300 E CEDAR ST,,,GLOBE,AZ,85501,1731,(928)402-8024,http://www.liberty-high.net,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,07,12,High,As reported,1
2023-2024,04,ARIZONA,AZ,Ball Charter Schools (Hearn) (4294),01,,AZ-4294,0400100,17606 N 7TH AVE,,,PHOENIX,AZ,85023,1567,17606 N 7TH AVE,,,PHOENIX,AZ,85023,1567,(602)896-9160,http://www.ballcharterschools.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,KG,08,Elementary,As reported,1
2023-2024,04,ARIZONA,AZ,Friendly House Inc. (4303),01,,AZ-4303,0400102,PO BOX 3695,,,PHOENIX,AZ,85030,3695,802 S 1ST AVE,,,PHOENIX,AZ,85003,2504,(602)257-1870,,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,KG,08,Elementary,As reported,1
2023-2024,04,ARIZONA,AZ,Ombudsman Educational Services Ltd.a subsidiary  (4323),01,,AZ-4323,0400103,28100 N ASHLEY CIR STE 102,,,LIBERTYVILLE,IL,60048,9478,3624 West Bell Road Suite 4-6,,,Glendale,AZ,85308,,(602)840-2997,http://az.ombudsman.com/about-ombudsman-arizona-charter/,1,Open,1,Open,07/30/2024,7,Independent charter district,Yes,CHRTNOTLEA,Not LEA for federal programs,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,06,12,High,As reported,8
2023-2024,04,ARIZONA,AZ,Arizona Agribusiness & Equine Center Inc. (4331),01,,AZ-4331,0400106,315 E MULBERRY DR,,,PHOENIX,AZ,85012,2307,3775 E UNION HILLS DR,,,PHOENIX,AZ,85050,3214,(602)297-8500,http://www.aaechighschools.com,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTIDEAESEA,LEA for federal programs,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,1
2023-2024,04,ARIZONA,AZ,International Commerce Secondary Schools Inc. (4334),01,,AZ-4334,0400107,5201 N 7TH ST,,,PHOENIX,AZ,85014,2802,5201 N 7TH ST,,,PHOENIX,AZ,85014,2802,(480)317-5900,http://www.humsci.org,1,Open,1,Open,07/30/2024,7,Independent charter district,No,CHRTNOTLEA,Not LEA for federal programs,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,1
